Index	First	Last	Team	Position	ESPNRank	FPRank	Upside	Injury Status	Blurb
T AUS RB DAL	Tavon	Austin	DAL	RB	242				
A GAT TE FA	Antonio	Gates	FA	TE	249				
W GAL RB NYG	Wayne	Gallman	NYG	RB	250				
J MOO WR GB	J'Mon	Moore	GB	WR	252				
DEF DAL			DAL	DEF	254				
D CAR K MIN	Daniel	Carlson	MIN	K	255				
M CRO K GB	Mason	Crosby	GB	K	256				
R GRI TE HOU	Ryan	Griffin	HOU	TE	258				
V GRE TE LAC	Virgil	Green	LAC	TE	259				
M VAL WR GB	Marquez	Valdes-Scantling	GB	WR	260				
E ST. WR GB	Equanimeous	St.	GB	WR	261				
A HUM WR TB	Adam	Humphries	TB	WR	263				
J WIL RB SF	Joe	Williams	SF	RB	264			Out indefinitely	
C SIM RB TB	Charles	Sims	TB	RB	265			Week 1	
S DAR QB NYJ	Sam	Darnold	NYJ	QB	269				
K COU WR HOU	Keke	Coutee	HOU	WR	271				
D CHA WR JAC	D.J.	Chark	JAC	WR	272				
R SWI WR OAK	Ryan	Switzer	OAK	WR	273				
D HAM WR DEN	DaeSean	Hamilton	DEN	WR	274				
T SMI WR NO	Tre'Quan	Smith	NO	WR	275				
D HEN RB DEN	De'Angelo	Henderson	DEN	RB	276				
T WES RB NO	Terrance	West	NO	RB	278				
B SCO RB NO	Boston	Scott	NO	RB	279				
J SAM RB PIT	Jaylen	Samuels	PIT	RB	280				
D WIL RB KC	Damien	Williams	KC	RB	281				
T LOG RB ARI	T.J.	Logan	ARI	RB	282				
J JAC RB LAC	Justin	Jackson	LAC	RB	283				
C SAM WR CAR	Curtis	Samuel	CAR	WR	284				
DEF GB			GB	DEF	285				
J LAM K JAC	Josh	Lambo	JAC	K	287				
D HOP K WAS	Dustin	Hopkins	WAS	K	288				
V DAV TE WAS	Vernon	Davis	WAS	TE	290				
T KRO TE CIN	Tyler	Kroft	CIN	TE	291				
B JAR TE DAL	Blake	Jarwin	DAL	TE	292				
G EVE TE LAR	Gerald	Everett	LAR	TE	293				
T GAB WR CHI	Taylor	Gabriel	CHI	WR	294			Day to day	
A MCC QB BUF	AJ	McCarron	BUF	QB	296			Status uncertain	
DEF CIN			CIN	DEF	297				
DEF DET			DET	DEF	298				
